	user	instance	user_id
144	dderigo	hostux.social	109327166816647965
145	mscroggs	mathstodon.xyz	2989
146	caterinagratton	fediscience.org	109322846315175047
147	Robichaux_Lab	mstdn.science	109379157995758902
148	mauriziosicorello	fediscience.org	109337084900017091
149	scherermichael	genomic.social	109302919699566056
150	OlyaOliker	mastodon.online	109297869530736942
151	martinbiehl	mathstodon.xyz	108209124176193299
152	neuralreckoning	neuromatch.social	109427242300764148
153	DanHandwerker	neuromatch.social	109611813226603604
154	petitprez_f	genomic.social	109382623421706285
155	ngehlenborg	mastodon.online	109298975588669138
156	SerhatTutkal	fediscience.org	109269264208108185
157	Luke_Harding	mastodon.social	109377464341241755
158	psychologician	fediscience.org	109260619556572067
159	fetner	sciences.social	109273986254136748
160	abbynoyce	fediscience.org	109315347225414721
161	DNAlawyer	mas.to	109288137688649656
162	SebSvenberg	sciences.social	109370555476960985
163	glyn	nerdculture.de	109290841938912251
164	DrAShadforth	mastodon.au	109363620791907832
165	patrikja	types.pl	
166	Alex_Kiryushkin	genomic.social	109309325123699244
167	sserbin	mastodon.social	109249254195815266
168	vickycharisi	hci.social	109279393700836745
169	courtney	daedal.io	65996
170	pepa	sigmoid.social	109299246200491051
171	annapowell	mastodon.social	109250573096709413
172	jhpassoth	mastodon.social	109258095318389020
173	whitcher	mastodon.social	109251701053553007
174	peonor	mstdn.social	109260831481002628
175	yan	ecoevo.social	109608162028431189
176	bellaw2	masto.ai	109467732203220379
177	ekvraga	mastodon.social	109705456444656504
178	scicirc	sciencemastodon.com	109556574852475476
179	Giselinde	mstdn.social	109268844362583256
180	wrigleyfield	fediscience.org	109326805147337853
181	richmeisel	ecoevo.social	109297589552110654
182	mdlincoln	mstdn.social	108194491160067980
183	mark_ungrin	fediscience.org	109293415202516125
184	tess_machling	mastodonapp.uk	109291381650187733
185	reinoudk	mastodon.social	109253078492649795
186	jeffcorbin	EcoEvo.Social	109313803262234692
187	bethcimini	fediscience.org	109321835143494253
188	HagenSchoelzel	mastodon.social	109253023768230800
189	marcusghosh	neuromatch.social	109540652322525827
190	drklapperich	mstdn.science	109377826372142942
191	PJMurphy249	genomic.social	109529751904218829
192	facontidavide	techhub.social	109378279812983898
193	volcano_diana	fediscience.org	109325135317772344
194	KathiEichler	qoto.org	
195	JulienBethune	fediscience.org	109303902771053670
196	flokno	physics.social	109694373009430943
197	crisprflydesign	fediscience.org	109304757427811193
198	fbruehlmann	hci.social	109308705426178443
199	thomas	uddannelse.social	109438606374699573
200	eriknesson	econtwitter.net	109326873147853716
201	micastre	mastodon.online	109264401663016734
202	roger_p_levy	mastodon.social	109257696021427420
203	tilofrei	sciencemastodon.com	109434481711763683
204	KCmath07	mathstodon.xyz	109536509131314259
205	MAJusino	ecoevo.social	109376686243717996
